Chain,Brand,Hotel,Confirm_No,Rez_Status_Desc,Status_Dt,Guest_Nm,Channel_Cd,Sec_Channel_Desc,Sub_Source,Sub_Src_CD,Location,Arrival_Dt,Depart_Dt,Nights_Qty,override_oversell,Room_Qty,Rate_Category_Name,Rate_Type_Code,Rez_Avg_Rate_Amt,Onshore_Rate_Type_Code,Onshore_Rez_Avg_Rate_Amt,Room_Type_Code,Record_Locator,Booker_Loyalty_Program_Level_List,Loyalty_Type,Loyalty_Program,Loyalty_Number,Loyalty_Level_Code,Loyalty_Level_Name,Loyalty_Points_Payment,Payment_Typ,VCC_Authorization_Amount,VCC_Currency_Code,VCC_Payment_Model,VCC_Card_Activation_Start,VCC_Card_Activation_End,Direct_Bill_Account_Number,Direct_Bill_Project_Number,Total_Points_Pymnt,Points_Refund,Total_Cash_Pymnt,Pay_At_Property,Cash_Refund,Total_Price_For_Adult,Total_Adult_Occupancy,Total_Price_For_Child_Age_Group1,Total_Child_Occupancy_For_Age_Group1,Total_Price_For_Child_Age_Group2,Total_Child_Occupancy_For_Age_Group2,Total_Price_For_Child_Age_Group3,Total_Child_Occupancy_For_Age_Group3,Total_Price_For_Child_Age_Group4,Total_Child_Occupancy_For_Age_Group4,Total_Price_For_Child_Age_Group5,Total_Child_Occupancy_For_Age_Group5,Total_Price_For_Child_Unknown_Age_Group,Total_Child_Occupancy_For_Unknown_Age_Group,Share_With,Channel_Connect_Confirm_NO,PMS_Confirm_Code,Original_Room_Type_Code,Original_Rm_Typ_Nm,Template_Code,Template_Name,Blacklist_Reason,Visa_Information,Installment_Amount,Number_of_Installments,Interest_Amount,Interest_Rate_Percentage,Total_Installment_Amount,Rate_Credential_ID,Trace_Date,Trace_Completion_Flag,Trace_Completion_Date,Trace_Text,RM_Upgrade_Reason_CD,ROOM_UPSELL,Room_To_Charge,Onhold_Duration,AutoCancel_ReleaseDateTime_ScheduledOrActual,Commission_Cd,Comm_Percent_Override_List,Coupon_Offer,Coupon_Discount_Total,Promotion,Promo_Discount,Maximum_Discount_Applied,Paynow_Discount,Fintech_Payment_Provider,Gift_Card_Paid,Gift_Card_Refund,Loyalty_Redemption_Reference,Award_Details
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG048213","Ignored","5/20/2026 6:34:13 PM","","WEB","Mobile","","","","5/20/2026 12:00:00 AM","5/21/2026 12:00:00 AM","1","No","1","Retail","BAR","128.800000","","","CSC","","","","","","","","No","","","","","","","","","0","","151.30","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","10P","","","0.00","Lock in 20%(SAVE20)","-32.20","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG050418","Ignored","5/31/2026 8:22:32 PM","","WEB","Booking Engine","","","","6/21/2026 12:00:00 AM","6/26/2026 12:00:00 AM","5","No","1","Discount","CREATENOW","148.950000","","","WSC","","","","","","","","No","","","","","","","","","0","","872.10","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG045607","Ignored","5/10/2026 11:56:37 PM","","WEB","Booking Engine","","","","5/20/2026 12:00:00 AM","5/21/2026 12:00:00 AM","1","No","1","Discount","DISMBDAY","153.300000","","","WSC","","","","","","","","No","","","","","","","","","0","","179.42","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG048870","Ignored","5/24/2026 1:43:41 PM","","WEB","Mobile","","","","11/27/2026 12:00:00 AM","12/2/2026 12:00:00 AM","5","No","1","Retail","BAR","190.880000","","","WSC","","","","","","","","No","","","","","","","","","0","","1112.68","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","10P","","","0.00","Lock in 20%(SAVE20)","-238.60","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG051154","Ignored","6/3/2026 5:11:44 PM","","WEB","Mobile","","","","8/12/2026 12:00:00 AM","8/15/2026 12:00:00 AM","3","No","1","Retail","BAR","132.266700","","","CSC","","","","","","","","No","","","","","","","","","0","","465.83","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","10P","","","0.00","Lock in 20%(SAVE20)","-99.20","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG048104","Ignored","5/20/2026 7:31:15 AM","","WEB","Booking Engine","","","","5/20/2026 12:00:00 AM","5/21/2026 12:00:00 AM","1","No","1","Retail","BAR","207.200000","","","CSC","","","","","","","","No","","","","","","","","","0","","241.26","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","10P","","","0.00","Lock in 20%(SAVE20)","-51.80","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG052471","Ignored","6/8/2026 5:47:27 PM","","WEB","Booking Engine","","","","6/14/2026 12:00:00 AM","6/21/2026 12:00:00 AM","7","No","1","Qualified Discount","DISLOSMEM","135.571400","","","CSC","","","","","","","","No","","","","","","","","","0","","1113.47","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","10P","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG062674","Ignored","7/19/2026 8:10:20 PM","","WEB","Mobile","","","","7/19/2026 12:00:00 AM","7/20/2026 12:00:00 AM","1","No","1","Retail","BAR","229.000000","","","WSC","","","","","","","","No","","","","","","","","","0","","266.27","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","10P","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG061519","Ignored","7/15/2026 1:57:00 AM","","WEB","Mobile","","","","8/7/2026 12:00:00 AM","8/15/2026 12:00:00 AM","8","No","1","Discount","DISLOS","106.700000","","","CSC","","","","","","","","No","","","","","","","","","0","","1007.52","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","10P","","","0.00","Stay Longer, Save More(DISLOS)","-116.40","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG047078","Ignored","5/16/2026 12:51:58 AM","","WEB","Mobile","","","","5/16/2026 12:00:00 AM","5/18/2026 12:00:00 AM","2","No","1","Package","SUMUBER","227.500000","","","WSC","","","","","","","","No","","","","","","","","","0","","529.13","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG046064","Ignored","5/12/2026 12:51:20 PM","","WEB","Mobile","","","","5/14/2026 12:00:00 AM","5/16/2026 12:00:00 AM","2","No","1","Discount","DISBDAY","229.200000","","","CSC","","","","","","","","No","","","","","","","","","0","","533.01","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG049322","Ignored","5/27/2026 2:56:52 AM","","WEB","Booking Engine","","goog","","5/27/2026 12:00:00 AM","5/30/2026 12:00:00 AM","3","No","1","Retail","BAR","118.933300","","","CSC","","","","","","","","No","","","","","","","","","0","","419.93","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","meta","meta","","","","","","","","","","Yes","","","","N","","0","","10P","","","0.00","Lock in 20%(SAVE20)","-89.20","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG047663","Ignored","5/18/2026 10:28:19 AM","","WEB","Booking Engine","","","","5/26/2026 12:00:00 AM","5/28/2026 12:00:00 AM","2","No","1","Package","SUMUBER","140.000000","","","CSC","","","","","","","","No","","","","","","","","","0","","328.32","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG047693","Ignored","5/18/2026 11:51:21 AM","","WEB","Booking Engine","","","","6/27/2026 12:00:00 AM","6/28/2026 12:00:00 AM","1","No","1","Discount","DISMBDAY","209.300000","","","WSC","","","","","","","","No","","","","","","","","","0","","243.68","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG050212","Ignored","5/31/2026 1:22:24 AM","","WEB","Mobile","","","","6/10/2026 12:00:00 AM","6/15/2026 12:00:00 AM","5","No","1","Retail","BAR","193.120000","","","CSC","","","","","","","","No","","","","","","","","","0","","1125.52","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","10P","","","0.00","Lock in 20%(SAVE20)","-241.40","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG050620","Ignored","6/1/2026 3:10:44 PM","","WEB","Booking Engine","","","","6/8/2026 12:00:00 AM","6/10/2026 12:00:00 AM","2","No","1","Discount","DISDIR","198.850000","","","CSC","","","","","","","","No","","","","","","","","","0","","463.36","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","10P","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG047669","Ignored","5/18/2026 10:31:44 AM","","WEB","Booking Engine","","","","5/26/2026 12:00:00 AM","5/28/2026 12:00:00 AM","2","No","1","Package","SUMUBER","140.000000","","","CSC","","","","","","","","No","","","","","","","","","0","","328.32","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG046090","Ignored","5/12/2026 2:16:28 PM","","WEB","Mobile","","","","5/12/2026 12:00:00 AM","5/13/2026 12:00:00 AM","1","No","1","Discount","DISMBDAY","191.800000","","","CSC","","","","","","","","No","","","","","","","","","0","","223.59","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG046711","Ignored","5/14/2026 5:22:15 PM","","WEB","Booking Engine","","","","5/18/2026 12:00:00 AM","5/24/2026 12:00:00 AM","6","No","1","Discount","DISMBDAY","154.583300","","","WSC","","","","","","","","No","","","","","","","","","0","","1085.32","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG047699","Ignored","5/18/2026 12:08:50 PM","","WEB","Mobile","","","","6/22/2026 12:00:00 AM","6/26/2026 12:00:00 AM","4","No","1","Discount","DISMBDAY","199.675000","","","NNC","","","","","","","","No","","","","","","","","","0","","930.49","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG049902","Ignored","5/29/2026 8:48:22 PM","","WEB","Booking Engine","","","","5/29/2026 12:00:00 AM","5/31/2026 12:00:00 AM","2","No","1","Retail","BAR","129.200000","","","WSC","","","","","","","","No","","","","","","","","","0","","303.51","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","10P","","","0.00","Lock in 20%(SAVE20)","-64.60","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG052040","Ignored","6/7/2026 9:10:11 AM","","WEB","Mobile","","","","6/18/2026 12:00:00 AM","6/20/2026 12:00:00 AM","2","No","1","Qualified Discount","DISDIRMEM","149.000000","","","CSC","","","","","","","","No","","","","","","","","","0","","348.96","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG062875","Ignored","7/20/2026 4:47:07 PM","","WEB","Mobile","","","","8/20/2026 12:00:00 AM","8/24/2026 12:00:00 AM","4","No","1","Qualified Discount","DISLOSMEM","101.420000","","","WSC","","","","","","","","No","","","","","","","","","0","","479.52","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","10P","","","0.00","Stay Longer, Save More(DISLOS)","-55.32","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG046677","Ignored","5/14/2026 3:11:39 PM","","WEB","Mobile","","","","5/21/2026 12:00:00 AM","5/24/2026 12:00:00 AM","3","No","1","Discount","DISMBDAY","161.466700","","","WSC","","","","","","","","No","","","","","","","","","0","","566.36","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG051928","Ignored","6/6/2026 6:33:52 PM","","WEB","Booking Engine","","goog_organic","","8/6/2026 12:00:00 AM","8/11/2026 12:00:00 AM","5","No","1","Discount","ADV","111.400000","","","CSC","","","","","","","","No","","","","","","","","","0","","656.63","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","meta","meta","","","","","","","","","","Yes","","","","N","","0","","10P","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG051632","Ignored","6/5/2026 2:29:22 PM","","WEB","Mobile","","","","6/5/2026 12:00:00 AM","6/6/2026 12:00:00 AM","1","No","1","Retail","BAR","219.000000","","","WSC","","","","","","","","No","","","","","","","","","0","","254.81","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","10P","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG046402","Ignored","5/13/2026 2:36:43 PM","","WEB","Mobile","","","","6/12/2026 12:00:00 AM","6/15/2026 12:00:00 AM","3","No","1","Discount","DISMBDAY","191.800000","","","CSC","","","","","","","","No","","","","","","","","","0","","670.77","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG048358","Ignored","5/21/2026 2:45:38 PM","","WEB","Booking Engine","","","","6/7/2026 12:00:00 AM","6/11/2026 12:00:00 AM","4","No","1","Package","SUMUBER","166.400000","","","WSC","","","","","","","","No","","","","","","","","","0","","777.78","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","Lock in 20%(SAVE20)","-166.40","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG047085","Ignored","5/16/2026 2:06:29 AM","","WEB","Mobile","","","","6/2/2026 12:00:00 AM","6/4/2026 12:00:00 AM","2","No","1","Discount","DISMBDAY","182.700000","","","WSC","","","","","","","","No","","","","","","","","","0","","426.28","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG046622","Ignored","5/14/2026 11:56:33 AM","","WEB","Booking Engine","","","","5/14/2026 12:00:00 AM","5/15/2026 12:00:00 AM","1","No","1","Discount","DISMBDAY","209.300000","","","CSC","","","","","","","","No","","","","","","","","","0","","243.68","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG047568","Ignored","5/18/2026 12:15:38 AM","","WEB","Mobile","","","","5/18/2026 12:00:00 AM","5/20/2026 12:00:00 AM","2","No","1","Discount","DISMBDAY","152.250000","","","CSC","","","","","","","","No","","","","","","","","","0","","356.41","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG047539","Ignored","5/17/2026 9:25:37 PM","","WEB","Mobile","","","","7/3/2026 12:00:00 AM","7/4/2026 12:00:00 AM","1","No","1","Discount","DISMBDAY","182.700000","","","CSC","","","","","","","","No","","","","","","","","","0","","213.14","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
